year,month,day,day_of_week,airline,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure,departure_time,departure_delay,taxi_out,wheels_off,scheduled_time,elapsed_time,air_time,distance,wheels_on,taxi_in,scheduled_arrival,arrival_time,arrival_delay,diverted,cancelled,cancellation_reason,air_system_delay,security_delay,airline_delay,late_aircraft_delay,weather_delay
2015,1,1,4,AA,1104,N3LAAA,DFW,LGA,655,647,-8,15,702,190,176,157,1389,1039,4,1105,1043,-22,0,0,,,,,,
2015,1,1,4,UA,1294,N69830,IAH,MCO,727,727,0,12,739,138,126,105,854,1024,9,1045,1033,-12,0,0,,,,,,
2015,1,1,4,UA,1108,N76503,CLE,DEN,846,845,-1,8,853,214,211,194,1201,1007,9,1020,1016,-4,0,0,,,,,,
2015,1,1,4,AS,172,N577AS,ANC,PHX,945,938,-7,19,957,345,323,298,2552,1655,6,1730,1701,-29,0,0,,,,,,
2015,1,1,4,WN,2492,N8310C,DCA,MKE,950,945,-5,11,956,130,131,114,634,1050,6,1100,1056,-4,0,0,,,,,,
2015,1,1,4,UA,1121,N39423,LAS,ORD,1125,1136,11,15,1151,223,205,175,1514,1646,15,1708,1701,-7,0,0,,,,,,
2015,1,1,4,OO,6572,N506CA,YUM,PHX,1130,1110,-20,8,1118,51,38,27,160,1145,3,1221,1148,-33,0,0,,,,,,
2015,1,1,4,UA,390,N802UA,SFO,LAX,1519,1515,-4,16,1531,90,91,55,337,1626,20,1649,1646,-3,0,0,,,,,,
2015,1,1,4,VX,717,N530VA,LGA,DAL,1545,1538,-7,12,1550,235,241,223,1381,1833,6,1840,1839,-1,0,0,,,,,,
2015,1,1,4,UA,1237,N37474,IAH,FLL,1545,1556,11,19,1615,145,138,114,965,1909,5,1910,1914,4,0,0,,,,,,
2015,1,1,4,UA,1762,N24224,SFO,IAH,1615,1612,-3,14,1626,220,215,195,1635,2141,6,2155,2147,-8,0,0,,,,,,
2015,1,1,4,DL,735,N935DN,ATL,DEN,1645,1653,8,11,1704,211,198,171,1199,1755,16,1816,1811,-5,0,0,,,,,,
2015,1,1,4,DL,322,N3730B,LAX,SEA,1745,1745,0,14,1759,167,159,140,954,2019,5,2032,2024,-8,0,0,,,,,,
2015,1,1,4,WN,727,N7726A,EWR,MDW,1800,1758,-2,13,1811,155,148,131,711,1922,4,1935,1926,-9,0,0,,,,,,
2015,1,1,4,WN,4124,N935WN,ABQ,PHX,1835,1849,14,10,1859,75,73,57,328,1956,6,1950,2002,12,0,0,,,,,,
2015,1,1,4,UA,277,N806UA,SFO,SNA,1938,1929,-9,13,1942,90,81,62,372,2044,6,2108,2050,-18,0,0,,,,,,
2015,1,1,4,B6,761,N661JB,LGA,PBI,1945,2017,32,13,2030,180,174,157,1035,2307,4,2245,2311,26,0,0,,0,0,0,26,0
2015,1,1,4,OO,6474,N980SW,LAX,ABQ,1955,1951,-4,19,2010,115,125,100,677,2250,6,2250,2256,6,0,0,,,,,,
2015,1,1,4,AA,1295,N3EUAA,DCA,MIA,2100,2233,93,10,2243,157,144,130,919,53,4,2337,57,80,0,0,,0,0,80,0,0
